Order Date,Product ID,Product Name,Sales_amount,Quantity,Discount,Profit,Year,Adjusted Quantity
2016-01-01,P001,Product 1,202,8,0.29,28.68,2016,8
2016-01-02,P001,Product 1,799,8,0.11,142.22,2016,8
2016-01-03,P001,Product 1,921,8,0.23,141.83,2016,9
2016-01-04,P001,Product 1,598,8,0.21,94.48,2016,9
2016-01-05,P001,Product 1,970,8,0.21,153.26,2016,10
2016-01-06,P001,Product 1,572,8,0.27,83.51,2016,10
2016-01-07,P001,Product 1,212,8,0.09,38.58,2016,11
2016-01-08,P001,Product 1,851,8,0.05,161.69,2016,11
2016-01-09,P001,Product 1,671,8,0.07,124.81,2016,12
2016-01-10,P001,Product 1,819,8,0.05,155.61,2016,12
2016-01-11,P001,Product 1,928,8,0.17,154.05,2016,13
2016-01-12,P001,Product 1,891,8,0.18,146.12,2016,14
2016-01-13,P001,Product 1,191,8,0.03,37.05,2016,14
2016-01-14,P001,Product 1,769,8,0.24,116.89,2016,15
2016-01-15,P001,Product 1,755,8,0.23,116.27,2016,16
2016-01-16,P001,Product 1,615,8,0.28,88.56,2016,17
2016-01-17,P001,Product 1,295,8,0.21,46.61,2016,17
2016-01-18,P001,Product 1,695,8,0.1,125.1,2016,18
2016-01-19,P001,Product 1,497,8,0.13,86.48,2016,19
2016-01-20,P001,Product 1,514,8,0.23,79.16,2016,20
2016-01-21,P001,Product 1,312,8,0.08,57.41,2016,21
2016-01-22,P001,Product 1,803,8,0.01,158.99,2016,22
2016-01-23,P001,Product 1,894,8,0.25,134.1,2016,23
2016-01-24,P001,Product 1,447,8,0.01,88.51,2016,25
2016-01-25,P001,Product 1,407,8,0.15,69.19,2016,26
2016-01-26,P001,Product 1,963,8,0.15,163.71,2016,27
2016-01-27,P001,Product 1,356,8,0.22,55.54,2016,28
2016-01-28,P001,Product 1,138,8,0.25,20.7,2016,30
2016-01-29,P001,Product 1,840,8,0.07,156.24,2016,31
2016-01-30,P001,Product 1,814,8,0.14,140.01,2016,33
2016-01-31,P001,Product 1,741,8,0.08,136.34,2016,35
2016-02-01,P001,Product 1,509,6,0.09,92.64,2016,36
2016-02-02,P001,Product 1,599,6,0.16,100.63,2016,38
2016-02-03,P001,Product 1,391,6,0.08,71.94,2016,40
2016-02-04,P001,Product 1,150,6,0.25,22.5,2016,42
2016-02-05,P001,Product 1,574,6,0.28,82.66,2016,44
2016-02-06,P001,Product 1,822,6,0.01,162.76,2016,46
2016-02-07,P001,Product 1,107,6,0.17,17.76,2016,49
2016-02-08,P001,Product 1,246,6,0.17,40.84,2016,51
2016-02-09,P001,Product 1,308,6,0.16,51.74,2016,54
2016-02-10,P001,Product 1,386,6,0.22,60.22,2016,56
2016-02-11,P001,Product 1,857,6,0.22,133.69,2016,59
2016-02-12,P001,Product 1,965,6,0.09,175.63,2016,62
2016-02-13,P001,Product 1,185,6,0.09,33.67,2016,65
2016-02-14,P001,Product 1,596,6,0.24,90.59,2016,68
2016-02-15,P001,Product 1,458,6,0.22,71.45,2016,72
2016-02-16,P001,Product 1,759,6,0.18,124.48,2016,75
2016-02-17,P001,Product 1,219,6,0.18,35.92,2016,79
2016-02-18,P001,Product 1,417,6,0.25,62.55,2016,83
2016-02-19,P001,Product 1,181,6,0.17,30.05,2016,87
2016-02-20,P001,Product 1,116,6,0.21,18.33,2016,92
2016-02-21,P001,Product 1,786,6,0.2,125.76,2016,96
2016-02-22,P001,Product 1,756,6,0.05,143.64,2016,101
2016-02-23,P001,Product 1,373,6,0.14,64.16,2016,106
2016-02-24,P001,Product 1,688,6,0.11,122.46,2016,112
2016-02-25,P001,Product 1,307,6,0.18,50.35,2016,117
2016-02-26,P001,Product 1,411,6,0.15,69.87,2016,123
2016-02-27,P001,Product 1,517,6,0.13,89.96,2016,129
2016-02-28,P001,Product 1,183,6,0.03,35.5,2016,136
2016-02-29,P001,Product 1,383,6,0.18,62.81,2016,142
2016-03-01,P001,Product 1,341,6,0.21,53.88,2016,149
2016-03-02,P001,Product 1,218,6,0.11,38.8,2016,157
